Faculty,Department,Level,Semester,Course Code,Course Title,Unit,Course Type,Prerequisite,Interest Area
Faculty of Computing and Sciences,Computer Science,300,Second Semester,CSC314,Human Computer Interaction,3,Compulsory,CSC305,Software Development

Faculty of Computing and Sciences,Computer Science,400,First Semester,CSC401,Artificial Intelligence,3,Elective,CSC202,Artificial Intelligence
Faculty of Computing and Sciences,Computer Science,400,First Semester,CSC403,Machine Learning,3,Elective,CSC401,Artificial Intelligence
Faculty of Computing and Sciences,Computer Science,400,First Semester,CSC405,Cyber Security,3,Elective,CSC303,Cybersecurity
Faculty of Computing and Sciences,Computer Science,400,First Semester,CSC407,Cloud Computing,3,Elective,CSC303,Cloud Computing
Faculty of Computing and Sciences,Computer Science,400,First Semester,CSC409,Human Computer Interaction,3,Compulsory,CSC305,Software Development
Faculty of Computing and Sciences,Computer Science,400,First Semester,CSC411,Computer Seminar,2,Compulsory,CSC310,Research
Faculty of Computing and Sciences,Computer Science,400,First Semester,CSC413,Industrial Attachment Report,2,Compulsory,None,Industrial Training

Faculty of Computing and Sciences,Computer Science,400,Second Semester,CSC402,Final Year Project,6,Compulsory,CSC310,Research
Faculty of Computing and Sciences,Computer Science,400,Second Semester,CSC404,Data Mining,3,Elective,CSC301,Data Science
Faculty of Computing and Sciences,Computer Science,400,Second Semester,CSC406,Information Systems Management,3,Compulsory,CSC305,Information Systems
Faculty of Computing and Sciences,Computer Science,400,Second Semester,CSC408,Distributed Systems,3,Elective,CSC204,Distributed Systems
Faculty of Computing and Sciences,Computer Science,400,Second Semester,CSC410,Professional Ethics in Computing,2,Compulsory,None,General Computing
Faculty of Computing and Sciences,Computer Science,400,Second Semester,CSC412,Computer Project Seminar,2,Compulsory,CSC402,Research
Faculty of Computing and Sciences,Computer Science,400,Second Semester,CSC414,Enterprise Systems Development,3,Elective,CSC406,Information Systems

Faculty of Computing and Sciences,Software Engineering,100,First Semester,SEN101,Introduction to Software Engineering,2,Compulsory,None,Software Development
Faculty of Computing and Sciences,Software Engineering,100,First Semester,CSC101,Introduction to Computer Science,2,Compulsory,None,Computing
Faculty of Computing and Sciences,Software Engineering,100,First Semester,MTH101,Elementary Mathematics I,3,Compulsory,None,Mathematics
Faculty of Computing and Sciences,Software Engineering,100,First Semester,PHY101,General Physics I,3,Compulsory,None,Physics
Faculty of Computing and Sciences,Software Engineering,100,First Semester,STA101,Introduction to Statistics,2,Compulsory,None,Statistics
Faculty of Computing and Sciences,Software Engineering,100,First Semester,GST101,Use of English I,2,Compulsory,None,General Studies
Faculty of Computing and Sciences,Software Engineering,100,First Semester,GST103,Nigerian Peoples and Culture,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Software Engineering,100,Second Semester,SEN102,Programming Principles,3,Compulsory,None,Programming
Faculty of Computing and Sciences,Software Engineering,100,Second Semester,CSC102,Computer Programming Fundamentals,3,Compulsory,CSC101,Programming
Faculty of Computing and Sciences,Software Engineering,100,Second Semester,MTH102,Elementary Mathematics II,3,Compulsory,MTH101,Mathematics
Faculty of Computing and Sciences,Software Engineering,100,Second Semester,PHY102,General Physics II,3,Compulsory,PHY101,Physics
Faculty of Computing and Sciences,Software Engineering,100,Second Semester,STA102,Probability and Statistics,2,Compulsory,STA101,Statistics
Faculty of Computing and Sciences,Software Engineering,100,Second Semester,GST102,Use of English II,2,Compulsory,GST101,General Studies
Faculty of Computing and Sciences,Software Engineering,100,Second Semester,GST104,Logic Philosophy and Human Existence,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Software Engineering,200,First Semester,SEN201,Object Oriented Software Development,3,Compulsory,SEN102,Software Development
Faculty of Computing and Sciences,Software Engineering,200,First Semester,SEN203,Discrete Structures,3,Compulsory,MTH102,Mathematics
Faculty of Computing and Sciences,Software Engineering,200,First Semester,SEN205,Computer Architecture,3,Compulsory,CSC101,Computer Architecture
Faculty of Computing and Sciences,Software Engineering,200,First Semester,SEN207,Software Engineering Laboratory I,1,Compulsory,SEN102,Software Development
Faculty of Computing and Sciences,Software Engineering,200,First Semester,MTH201,Linear Algebra,3,Compulsory,MTH102,Mathematics
Faculty of Computing and Sciences,Software Engineering,200,First Semester,STA201,Statistical Methods,2,Compulsory,STA102,Statistics
Faculty of Computing and Sciences,Software Engineering,200,First Semester,GST201,Entrepreneurship Studies I,2,Compulsory,None,Entrepreneurship

Faculty of Computing and Sciences,Software Engineering,200,Second Semester,SEN202,Software Requirements Engineering,3,Compulsory,SEN201,Software Development
Faculty of Computing and Sciences,Software Engineering,200,Second Semester,SEN204,Data Structures and Algorithms,3,Compulsory,SEN201,Programming
Faculty of Computing and Sciences,Software Engineering,200,Second Semester,SEN206,System Analysis and Design,3,Compulsory,SEN201,System Design
Faculty of Computing and Sciences,Software Engineering,200,Second Semester,SEN208,Operating Systems,3,Compulsory,SEN205,Operating Systems
Faculty of Computing and Sciences,Software Engineering,200,Second Semester,SEN210,Software Engineering Laboratory II,1,Compulsory,SEN207,Software Development
Faculty of Computing and Sciences,Software Engineering,200,Second Semester,SEN212,Database Systems,3,Compulsory,SEN204,Database
Faculty of Computing and Sciences,Software Engineering,200,Second Semester,GST202,Entrepreneurship Studies II,2,Compulsory,GST201,Entrepreneurship

Faculty of Computing and Sciences,Software Engineering,300,First Semester,SEN301,Software Design and Architecture,3,Compulsory,SEN201,Software Design
Faculty of Computing and Sciences,Software Engineering,300,First Semester,SEN303,Database Systems,3,Compulsory,SEN204,Database
Faculty of Computing and Sciences,Software Engineering,300,First Semester,SEN305,Computer Networks,3,Compulsory,SEN208,Networking
Faculty of Computing and Sciences,Software Engineering,300,First Semester,SEN307,Human Computer Interaction,3,Compulsory,SEN202,Software Development
Faculty of Computing and Sciences,Software Engineering,300,First Semester,SEN309,Web Engineering,3,Elective,SEN204,Web Development
Faculty of Computing and Sciences,Software Engineering,300,First Semester,SEN311,Software Engineering Laboratory III,1,Compulsory,SEN210,Software Development
Faculty of Computing and Sciences,Software Engineering,300,First Semester,SEN313,Software Project Planning and Estimation,3,Compulsory,SEN202,Project Management

Faculty of Computing and Sciences,Software Engineering,300,Second Semester,SEN302,Software Testing and Quality Assurance,3,Compulsory,SEN301,Software Testing
Faculty of Computing and Sciences,Software Engineering,300,Second Semester,SEN304,Software Configuration Management,3,Compulsory,SEN301,Software Development
Faculty of Computing and Sciences,Software Engineering,300,Second Semester,SEN306,Mobile Application Development,3,Elective,SEN204,Mobile Development
Faculty of Computing and Sciences,Software Engineering,300,Second Semester,SEN308,Software Metrics and Measurement,3,Compulsory,SEN301,Software Quality
Faculty of Computing and Sciences,Software Engineering,300,Second Semester,SEN310,Research Methods in Software Engineering,2,Compulsory,None,Research
Faculty of Computing and Sciences,Software Engineering,300,Second Semester,SEN312,Software Engineering Laboratory IV,1,Compulsory,SEN311,Software Development
Faculty of Computing and Sciences,Software Engineering,300,Second Semester,SEN314,Software Maintenance and Evolution,3,Compulsory,SEN302,Software Development

Faculty of Computing and Sciences,Software Engineering,400,First Semester,SEN401,Software Project Management,3,Compulsory,SEN301,Project Management
Faculty of Computing and Sciences,Software Engineering,400,First Semester,SEN403,Software Process Improvement,3,Compulsory,SEN302,Software Quality
Faculty of Computing and Sciences,Software Engineering,400,First Semester,SEN405,Enterprise Software Development,3,Elective,SEN301,Software Development
Faculty of Computing and Sciences,Software Engineering,400,First Semester,SEN407,Cloud Software Engineering,3,Elective,SEN305,Cloud Computing
Faculty of Computing and Sciences,Software Engineering,400,First Semester,SEN409,Professional Practice and Ethics,2,Compulsory,None,Professional Ethics
Faculty of Computing and Sciences,Software Engineering,400,First Semester,SEN411,Software Engineering Seminar,2,Compulsory,SEN310,Research
Faculty of Computing and Sciences,Software Engineering,400,First Semester,SEN413,Industrial Attachment Report,2,Compulsory,None,Industrial Training

Faculty of Computing and Sciences,Software Engineering,400,Second Semester,SEN402,Software Engineering Project,6,Compulsory,SEN401,Research
Faculty of Computing and Sciences,Software Engineering,400,Second Semester,SEN404,Software Maintenance and Evolution,3,Compulsory,SEN302,Software Development
Faculty of Computing and Sciences,Software Engineering,400,Second Semester,SEN406,Software Security Engineering,3,Elective,SEN305,Cybersecurity
Faculty of Computing and Sciences,Software Engineering,400,Second Semester,SEN408,Emerging Trends in Software Engineering,2,Elective,SEN401,Software Development
Faculty of Computing and Sciences,Software Engineering,400,Second Semester,SEN410,Industrial Training Report and Seminar,2,Compulsory,None,Industrial Training
Faculty of Computing and Sciences,Software Engineering,400,Second Semester,SEN412,Project Defense and Presentation,2,Compulsory,SEN402,Research
Faculty of Computing and Sciences,Software Engineering,400,Second Semester,SEN414,Software Entrepreneurship and Innovation,3,Elective,SEN401,Entrepreneurship

Faculty of Computing and Sciences,Cyber Security,100,First Semester,CYB101,Introduction to Cyber Security,2,Compulsory,None,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,100,First Semester,CSC101,Introduction to Computer Science,2,Compulsory,None,Computing
Faculty of Computing and Sciences,Cyber Security,100,First Semester,MTH101,Elementary Mathematics I,3,Compulsory,None,Mathematics
Faculty of Computing and Sciences,Cyber Security,100,First Semester,PHY101,General Physics I,3,Compulsory,None,Physics
Faculty of Computing and Sciences,Cyber Security,100,First Semester,STA101,Introduction to Statistics,2,Compulsory,None,Statistics
Faculty of Computing and Sciences,Cyber Security,100,First Semester,GST101,Use of English I,2,Compulsory,None,General Studies
Faculty of Computing and Sciences,Cyber Security,100,First Semester,GST103,Nigerian Peoples and Culture,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Cyber Security,100,Second Semester,CYB102,Computer Networks,3,Compulsory,None,Networking
Faculty of Computing and Sciences,Cyber Security,100,Second Semester,CSC102,Programming Fundamentals,3,Compulsory,CSC101,Programming
Faculty of Computing and Sciences,Cyber Security,100,Second Semester,MTH102,Elementary Mathematics II,3,Compulsory,MTH101,Mathematics
Faculty of Computing and Sciences,Cyber Security,100,Second Semester,PHY102,General Physics II,3,Compulsory,PHY101,Physics
Faculty of Computing and Sciences,Cyber Security,100,Second Semester,STA102,Introduction to Statistics II,2,Compulsory,STA101,Statistics
Faculty of Computing and Sciences,Cyber Security,100,Second Semester,GST102,Use of English II,2,Compulsory,GST101,General Studies
Faculty of Computing and Sciences,Cyber Security,100,Second Semester,GST104,Logic Philosophy and Human Existence,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Cyber Security,200,First Semester,CYB201,Network Security,3,Compulsory,CYB102,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,200,First Semester,CYB203,Computer Architecture and Security,3,Compulsory,CSC101,Computer Architecture
Faculty of Computing and Sciences,Cyber Security,200,First Semester,CYB205,Data Structures and Algorithms,3,Compulsory,CSC102,Programming
Faculty of Computing and Sciences,Cyber Security,200,First Semester,CYB207,Operating Systems Security,3,Compulsory,CYB102,Operating Systems
Faculty of Computing and Sciences,Cyber Security,200,First Semester,CYB209,Cyber Security Laboratory I,1,Compulsory,CYB102,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,200,First Semester,STA201,Statistical Methods,2,Compulsory,STA102,Statistics
Faculty of Computing and Sciences,Cyber Security,200,First Semester,GST201,Entrepreneurship Studies I,2,Compulsory,None,Entrepreneurship

Faculty of Computing and Sciences,Cyber Security,200,Second Semester,CYB202,Cryptography,3,Compulsory,CYB201,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,200,Second Semester,CYB204,Secure Programming,3,Compulsory,CYB205,Programming
Faculty of Computing and Sciences,Cyber Security,200,Second Semester,CYB206,System Analysis and Design,3,Compulsory,CYB205,System Design
Faculty of Computing and Sciences,Cyber Security,200,Second Semester,CYB208,Database Security,3,Compulsory,CYB205,Database Security
Faculty of Computing and Sciences,Cyber Security,200,Second Semester,CYB210,Cyber Security Laboratory II,1,Compulsory,CYB209,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,200,Second Semester,CYB212,Computer Networks Security Administration,3,Compulsory,CYB201,Networking
Faculty of Computing and Sciences,Cyber Security,200,Second Semester,GST202,Entrepreneurship Studies II,2,Compulsory,GST201,Entrepreneurship

Faculty of Computing and Sciences,Cyber Security,300,First Semester,CYB301,Ethical Hacking,3,Elective,CYB201,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,300,First Semester,CYB303,Penetration Testing,3,Compulsory,CYB201,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,300,First Semester,CYB305,Information Security Management,3,Compulsory,CYB202,Information Security
Faculty of Computing and Sciences,Cyber Security,300,First Semester,CYB307,Wireless Network Security,3,Compulsory,CYB201,Networking
Faculty of Computing and Sciences,Cyber Security,300,First Semester,CYB309,Cyber Law and Ethics,2,Compulsory,None,Cyber Law
Faculty of Computing and Sciences,Cyber Security,300,First Semester,CYB311,Cyber Security Laboratory III,1,Compulsory,CYB210,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,300,First Semester,CYB313,Digital Risk Management,3,Compulsory,CYB305,Risk Management

Faculty of Computing and Sciences,Cyber Security,300,Second Semester,CYB302,Web Application Security,3,Compulsory,CYB301,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,300,Second Semester,CYB304,Cloud Security,3,Compulsory,CYB303,Cloud Security
Faculty of Computing and Sciences,Cyber Security,300,Second Semester,CYB306,Malware Analysis,3,Compulsory,CYB303,Malware Analysis
Faculty of Computing and Sciences,Cyber Security,300,Second Semester,CYB308,Incident Response and Recovery,3,Compulsory,CYB305,Incident Response
Faculty of Computing and Sciences,Cyber Security,300,Second Semester,CYB310,Research Methods in Cyber Security,2,Compulsory,None,Research
Faculty of Computing and Sciences,Cyber Security,300,Second Semester,CYB312,Cyber Security Laboratory IV,1,Compulsory,CYB311,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,300,Second Semester,CYB314,Security Operations Center Management,3,Compulsory,CYB308,Cybersecurity

Faculty of Computing and Sciences,Cyber Security,400,First Semester,CYB401,Digital Forensics,3,Compulsory,CYB201,Digital Forensics
Faculty of Computing and Sciences,Cyber Security,400,First Semester,CYB403,Advanced Cyber Defense,3,Compulsory,CYB302,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,400,First Semester,CYB405,Security Operations Center Management,3,Compulsory,CYB308,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,400,First Semester,CYB407,Artificial Intelligence for Security,3,Elective,CYB403,Artificial Intelligence
Faculty of Computing and Sciences,Cyber Security,400,First Semester,CYB409,Professional Practice and Ethics,2,Compulsory,None,Professional Ethics
Faculty of Computing and Sciences,Cyber Security,400,First Semester,CYB411,Cyber Security Seminar,2,Compulsory,CYB310,Research
Faculty of Computing and Sciences,Cyber Security,400,First Semester,CYB413,Industrial Attachment Report,2,Compulsory,None,Industrial Training

Faculty of Computing and Sciences,Cyber Security,400,Second Semester,CYB402,Cyber Security Project,6,Compulsory,CYB401,Research
Faculty of Computing and Sciences,Cyber Security,400,Second Semester,CYB404,Advanced Threat Intelligence,3,Compulsory,CYB403,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,400,Second Semester,CYB406,Industrial Attachment Report and Seminar,2,Compulsory,None,Industrial Training
Faculty of Computing and Sciences,Cyber Security,400,Second Semester,CYB408,Blockchain Security,3,Elective,CYB202,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,400,Second Semester,CYB410,Emerging Trends in Cyber Security,2,Elective,CYB403,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,400,Second Semester,CYB412,Cyber Security Policy and Governance,3,Compulsory,CYB305,Cybersecurity
Faculty of Computing and Sciences,Cyber Security,400,Second Semester,CYB414,Project Defense and Presentation,2,Compulsory,CYB402,Research

Faculty of Computing and Sciences,Physics with Electronics,100,First Semester,PHE101,General Physics I,3,Compulsory,None,Physics
Faculty of Computing and Sciences,Physics with Electronics,100,First Semester,PHY103,Practical Physics I,1,Compulsory,None,Physics
Faculty of Computing and Sciences,Physics with Electronics,100,First Semester,MTH101,Elementary Mathematics I,3,Compulsory,None,Mathematics
Faculty of Computing and Sciences,Physics with Electronics,100,First Semester,CHM101,General Chemistry I,3,Compulsory,None,Chemistry
Faculty of Computing and Sciences,Physics with Electronics,100,First Semester,CSC101,Introduction to Computer Science,2,Compulsory,None,Computing
Faculty of Computing and Sciences,Physics with Electronics,100,First Semester,GST101,Use of English I,2,Compulsory,None,General Studies
Faculty of Computing and Sciences,Physics with Electronics,100,First Semester,GST103,Nigerian Peoples and Culture,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Physics with Electronics,100,Second Semester,PHE102,Electricity and Magnetism,3,Compulsory,PHE101,Electronics
Faculty of Computing and Sciences,Physics with Electronics,100,Second Semester,PHY104,Practical Physics II,1,Compulsory,PHY103,Physics
Faculty of Computing and Sciences,Physics with Electronics,100,Second Semester,MTH102,Elementary Mathematics II,3,Compulsory,MTH101,Mathematics
Faculty of Computing and Sciences,Physics with Electronics,100,Second Semester,CHM102,General Chemistry II,3,Compulsory,CHM101,Chemistry
Faculty of Computing and Sciences,Physics with Electronics,100,Second Semester,CSC102,Computer Programming Fundamentals,3,Compulsory,CSC101,Programming
Faculty of Computing and Sciences,Physics with Electronics,100,Second Semester,GST102,Use of English II,2,Compulsory,GST101,General Studies
Faculty of Computing and Sciences,Physics with Electronics,100,Second Semester,GST104,Logic Philosophy and Human Existence,2,Compulsory,None,General Studies

Faculty of Computing and Sciences,Physics with Electronics,200,First Semester,PHE201,Electronic Circuits,3,Compulsory,PHE102,Electronics
Faculty of Computing and Sciences,Physics with Electronics,200,First Semester,PHE203,Mathematical Methods in Physics,3,Compulsory,MTH102,Mathematics
Faculty of Computing and Sciences,Physics with Electronics,200,First Semester,PHE205,Modern Physics,3,Compulsory,PHE101,Physics
Faculty of Computing and Sciences,Physics with Electronics,200,First Semester,PHE207,Digital Logic Design,3,Compulsory,PHE102,Electronics
Faculty of Computing and Sciences,Physics with Electronics,200,First Semester,PHE209,Physics Laboratory III,1,Compulsory,PHY104,Physics
Faculty of Computing and Sciences,Physics with Electronics,200,First Semester,MTH201,Linear Algebra,3,Compulsory,MTH102,Mathematics
Faculty of Computing and Sciences,Physics with Electronics,200,First Semester,GST201,Entrepreneurship Studies I,2,Compulsory,None,Entrepreneurship

Faculty of Computing and Sciences,Physics with Electronics,200,Second Semester,PHE202,Analogue Electronics,3,Compulsory,PHE201,Electronics
Faculty of Computing and Sciences,Physics with Electronics,200,Second Semester,PHE204,Thermodynamics and Statistical Physics,3,Compulsory,PHE205,Physics
Faculty of Computing and Sciences,Physics with Electronics,200,Second Semester,PHE206,Electromagnetic Theory,3,Compulsory,PHE102,Physics
Faculty of Computing and Sciences,Physics with Electronics,200,Second Semester,PHE208,Workshop Practice and Instrumentation,2,Compulsory,PHE201,Instrumentation
Faculty of Computing and Sciences,Physics with Electronics,200,Second Semester,PHE210,Physics Laboratory IV,1,Compulsory,PHE209,Physics
Faculty of Computing and Sciences,Physics with Electronics,200,Second Semester,STA202,Probability and Statistics,3,Compulsory,None,Statistics
Faculty of Computing and Sciences,Physics with Electronics,200,Second Semester,GST202,Entrepreneurship Studies II,2,Compulsory,GST201,Entrepreneurship

Faculty of Computing and Sciences,Physics with Electronics,300,First Semester,PHE301,Digital Electronics,3,Compulsory,PHE201,Electronics
Faculty of Computing and Sciences,Physics with Electronics,300,First Semester,PHE303,Solid State Physics,3,Compulsory,PHE205,Physics
Faculty of Computing and Sciences,Physics with Electronics,300,First Semester,PHE305,Electronic Measurement and Instrumentation,3,Compulsory,PHE208,Instrumentation
Faculty of Computing and Sciences,Physics with Electronics,300,First Semester,PHE307,Signals and Systems,3,Compulsory,PHE202,Electronics
Faculty of Computing and Sciences,Physics with Electronics,300,First Semester,PHE309,Research Methods in Physics,2,Compulsory,None,Research
Faculty of Computing and Sciences,Physics with Electronics,300,First Semester,PHE311,Physics Laboratory V,1,Compulsory,PHE210,Physics
Faculty of Computing and Sciences,Physics with Electronics,300,First Semester,PHE313,Communication Principles,3,Compulsory,PHE307,Electronics

Faculty of Computing and Sciences,Physics with Electronics,300,Second Semester,PHE302,Microprocessor Systems,3,Compulsory,PHE301,Electronics
Faculty of Computing and Sciences,Physics with Electronics,300,Second Semester,PHE304,Semiconductor Devices,3,Compulsory,PHE303,Electronics
Faculty of Computing and Sciences,Physics with Electronics,300,Second Semester,PHE306,Control Systems,3,Compulsory,PHE307,Electronics
Faculty of Computing and Sciences,Physics with Electronics,300,Second Semester,PHE308,Embedded Systems Design,3,Compulsory,PHE302,Electronics
Faculty of Computing and Sciences,Physics with Electronics,300,Second Semester,PHE310,Industrial Training Seminar,1,Compulsory,None,Industrial Training
Faculty of Computing and Sciences,Physics with Electronics,300,Second Semester,PHE312,Physics Laboratory VI,1,Compulsory,PHE311,Physics
Faculty of Computing and Sciences,Physics with Electronics,300,Second Semester,PHE314,Electronic Communication Systems,3,Compulsory,PHE313,Electronics

Faculty of Computing and Sciences,Physics with Electronics,400,First Semester,PHE401,Communication Electronics,3,Elective,PHE301,Electronics
Faculty of Computing and Sciences,Physics with Electronics,400,First Semester,PHE403,Wireless Communication Systems,3,Compulsory,PHE401,Telecommunication
Faculty of Computing and Sciences,Physics with Electronics,400,First Semester,PHE405,Power Electronics,3,Compulsory,PHE202,Electronics
Faculty of Computing and Sciences,Physics with Electronics,400,First Semester,PHE407,Advanced Instrumentation,3,Compulsory,PHE305,Instrumentation
Faculty of Computing and Sciences,Physics with Electronics,400,First Semester,PHE409,Professional Ethics and Practice,2,Compulsory,None,Professional Ethics
Faculty of Computing and Sciences,Physics with Electronics,400,First Semester,PHE411,Electronics Seminar,2,Compulsory,PHE309,Research
Faculty of Computing and Sciences,Physics with Electronics,400,First Semester,PHE413,Industrial Attachment Report,2,Compulsory,None,Industrial Training

Faculty of Computing and Sciences,Physics with Electronics,400,Second Semester,PHE402,Electronics Project,6,Compulsory,PHE401,Research
Faculty of Computing and Sciences,Physics with Electronics,400,Second Semester,PHE404,Renewable Energy Systems,3,Elective,PHE206,Energy Systems
Faculty of Computing and Sciences,Physics with Electronics,400,Second Semester,PHE406,Advanced Digital Systems,3,Compulsory,PHE301,Electronics
Faculty of Computing and Sciences,Physics with Electronics,400,Second Semester,PHE408,Industrial Attachment Report and Seminar,2,Compulsory,None,Industrial Training
Faculty of Computing and Sciences,Physics with Electronics,400,Second Semester,PHE410,Current Trends in Electronics,2,Elective,PHE401,Electronics
Faculty of Computing and Sciences,Physics with Electronics,400,Second Semester,PHE412,Project Defense and Presentation,2,Compulsory,PHE402,Research
Faculty of Computing and Sciences,Physics with Electronics,400,Second Semester,PHE414,Microcontroller Applications,3,Elective,PHE302,Electronics

Faculty of Computing and Sciences,Industrial Chemistry,100,First Semester,ICH101,General Chemistry I,3,Compulsory,None,Chemistry
Faculty of Computing and Sciences,Industrial Chemistry,100,First Semester,ICH103,Chemistry Practical I,1,Compulsory,None,Chemistry
